Neighborhood,Latitude,Longitude
Mira Mesa,,
Rancho Penasquitos,32.9577102,-117.128539
Carmel Valley,32.9434337,-117.2139794
University City,32.87265,-117.214022
Rancho Bernardo,33.0186103,-117.0610495
North Park,32.7483876,-117.1301564
Pacific Beach,32.7978268,-117.2403183
La Jolla,32.8401623,-117.2740777
Otay Mesa West,32.5730771,-117.0542199
Bay Terraces,32.6919137,-117.0366305
Tierrasanta,32.8292155,-117.103643
Serra Mesa,32.8028991,-117.1387739
San Ysidro,32.5520013,-117.0430813
Clairemont Mesa East,,
Linda Vista,32.7898409,-117.1676463
Point Loma Heights,,
Lake Murray,32.7885357,-117.0421608
Scripps Ranch,32.9022691,-117.0997546
Paradise Hills,32.6783865,-117.0569728
Bay Park,32.7846385,-117.2026047
Mountain View,32.6992189,-117.1128086
Encanto,32.7119967,-117.0503063
Oak Park,32.7371791,-117.0708551
Hillcrest,32.7482898,-117.1609755
Nestor,32.5703446,-117.0842314
Logan Heights,32.6992188,-117.129476
Bay Ho,,
North Clairemont,32.8353501,-117.2013226
Ocean Crest,32.9831404,-117.25971
Black Mountain Ranch,32.9841169,-117.1319318
College East,,
Miramar Ranch North,,
San Carlos,32.8033859,-117.0383919
University Heights,32.757194,-117.1460431
East Village,32.713731,-117.1536398
Normal Heights,32.7633837,-117.1228098
Valencia Park,32.7047745,-117.0850299
Ocean Beach,32.7448067,-117.2476067
Allied Gardens,32.792687,-117.0804356
Carmel Mountain,32.9307349,-117.2178265
Mission Valley East,,
Barrio Logan,32.6938863,-117.1380068
Jomacha-Lomita,,
Colina del Sol,32.7515674,-117.0815946
Morena,32.7666656,-117.1958612
Clairemont Mesa West,,
Lincoln Park,32.704219,-117.0894745
Sabre Springs,32.9497788,-117.0952453
Grantville,32.7875499,-117.0972535
Midway District,32.713796,-117.1751999
College West,,
Talmadge,32.7591582,-117.0890056
Egger Highlands,32.5836667,-117.096973
Castle,32.7404093,-117.1081786
Core-Columbia,32.7174121,-117.1613485
Bankers Hill,32.73186,-117.1627604
Skyline,32.7026609,-117.0306316
North City,34.2412654,-118.4729038
Golden Hill,32.7161627,-117.136143
Corridor,32.9040608,-117.0920281
Rolando,32.7605912,-117.0587276
Del Cerro,32.7850349,-117.0624815
Teralta East,32.7515764,-117.1086724
Del Mar Heights,32.9488105,-117.250785
Southcrest,32.6935672,-117.1052383
Loma Portal,32.746213,-117.2147189
Ridgeview-Webster,,
Mission Hills,32.7529512,-117.1835214
Fairmount Village,,
Cherokee Point,32.7460414,-117.1144565
El Cerrito,32.7548505,-117.0728169
Mt. Hope,32.7142185,-117.1075309
Kensington,32.7633104,-117.1063938
Palm City,32.5847016,-117.0789586
South Park,32.7244659,-117.1291968
Teralta West,,
Sorrento Valley,32.9001409,-117.189445
Chollas Creek,32.7319958,-117.0930861
Marina,32.7142708,-117.163263
Kearny Mesa,32.8289243,-117.142415
Roseville - Fleet Ridge,,
Otay Mesa,32.5628828,-116.9878343
Swan Canyon,32.7382677,-117.098823
Bird Land,,
Emerald Hills,32.7167187,-117.081141
Chollas View,32.7131076,-117.0911414
Grant Hill,32.7086656,-117.1339248
Wooded Area,32.7191705,-117.2466308
Rolando Park,32.7486298,-117.0572436
Midtown,32.7479331,-117.165372
Redwood Village,,
Torrey Highlands,32.9641209,-117.1567508
Azalea-Hollywood Park,32.7320431,-117.1082746
Fairmount Park,32.7233746,-117.1076289
Adams North,,
Mission Valley West,32.7666916,-117.1555235
Stockton,32.7538294,-117.1841913
Cortez Hill,32.721465,-117.1598091
Shelltown,32.6803306,-117.1044747
Mission Beach,32.7825908,-117.2524943
Little Italy,32.7234579,-117.168272
Sherman Heights,32.7106073,-117.1422545
Sunset Cliffs,32.7305,-117.2532
La Playa,32.7106842,-117.2393918
Alta Vista,32.6933389,-117.0631541
Fox Canyon,,
Harborview,32.7257498,-117.1718523
Rancho Encantado,,
Islenair,32.733175,-117.0996579
Horton Plaza,32.7149922,-117.1614837
Old Town,32.7553282,-117.1978654
Burlingame,32.7316604,-117.1293211
Gaslamp Quarter,32.7114994,-117.1601398
